Adresse,lat,lon,precision,correspondance
Andrononobe,-18.8671033,47.5498995,incertaine,"Andrononobe, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Anjanahary, Antananarivo, Analamanga, Madagascar",-18.8952195,47.5372416,exacte,"Anjanahary, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Anjomakely, Antananarivo, Analamanga, Madagascar",-18.7795244,47.4813119,exacte,"Anjomakely, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
Ankadiefajoro,-18.9282345,47.7795598,incertaine,"Ankadiefajoro, Manjakandriana, District de Manjakandriana, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ankadifotsy, Antananarivo, Analamanga, Madagascar",-18.8978507,47.5258109,exacte,"Ankadifotsy, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ankadikely Ilafy, Antananarivo, Analamanga, Madagascar",-18.8485968,47.5523249,exacte,"Kianjan'ny Fifankatiavana Ankadikely Ilafy, N 3, Andombotany, Ankadikely, Sabotsy Namehana, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ankadimbahoaka, Antananarivo, Analamanga, Madagascar",-18.9430303,47.5234133,exacte,"Ankadimbahoaka, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ankadindramamy, Antananarivo, Analamanga, Madagascar",-18.8919636,47.5590641,exacte,"Ankadindramamy, Ambohidahy, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ankadindratombo, Antananarivo, Analamanga, Madagascar",-18.9390319,47.5547258,exacte,"Ankadindratombo, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
Ankaditany,-18.9502069,47.4714587,incertaine,"Ankaditany, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ankaraobato, Antananarivo, Analamanga, Madagascar",-18.7056475,47.2465673,exacte,"Ankaraobato, Ambatomitsangana, Ampanotokana, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ankasina, Antananarivo, Analamanga, Madagascar",-18.899991,47.5070299,exacte,"Ankasina, 67 ha, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ankatso, Antananarivo, Analamanga, Madagascar",-18.9159866,47.5657712,exacte,"Ankatso, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ankazobe, Analamanga, Madagascar",-18.3143843,47.1144865,exacte,"Ankazobe, District d'Ankazobe, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ankazomanga, Antananarivo, Analamanga, Madagascar",-18.8918482,47.5135602,exacte,"Ankazomanga, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ankazomiriotra, Vakinankaratra, Madagascar",-19.6599454,46.5332578,exacte,"Ankazomiriotra, Mandoto, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
Ankazotokana,-18.9176936,47.5356695,incertaine,"Ankazotokana, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ankerana, Antananarivo, Analamanga, Madagascar",-18.8880879,47.556178,exacte,"Ankerana, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ankorondrano, Antananarivo, Analamanga, Madagascar",-18.8859714,47.522924,exacte,"Ankorondrano, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Anosibe An'Ala, Alaotra-Mangoro, Madagascar",-19.4382256,48.2060125,exacte,"Anosibe an'ala, Anosibe-An'ala, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
